MeterNo,SIP End Date and time,V,V,V,A,A,A,kWh Abs,kVArh+ Abs,kVArh- Abs,kVAh Abs,,DataStatus,Units
27299286,20-05-2023 12:00,228.43 V,227.91 V,228.99 V,24.5 A,24.68 A,24.41 A,8.4 kWh Abs,0.26 kVArh+ Abs,0 kVArh- Abs,8.4 kVAh Abs,1,1,2
27299286,20-05-2023 12:30,232.41 V,231.99 V,233.22 V,24.8 A,24.99 A,24.67 A,8.66 kWh Abs,0.26 kVArh+ Abs,0 kVArh- Abs,8.67 kVAh Abs,0.999,1,2
27299286,20-05-2023 13:00,233.8 V,233.43 V,234.22 V,23.07 A,23.26 A,22.95 A,8.1 kWh Abs,0.29 kVArh+ Abs,0 kVArh- Abs,8.1 kVAh Abs,1,1,2
27299286,20-05-2023 13:30,230.39 V,229.98 V,230.51 V,22.03 A,22.21 A,21.92 A,7.61 kWh Abs,0.28 kVArh+ Abs,0 kVArh- Abs,7.62 kVAh Abs,0.999,1,2
27299286,20-05-2023 14:00,226.53 V,225.27 V,226.95 V,20.95 A,21.14 A,20.84 A,7.11 kWh Abs,0.27 kVArh+ Abs,0 kVArh- Abs,7.12 kVAh Abs,0.999,1,2
27299286,20-05-2023 14:30,225.37 V,224.41 V,225.32 V,18.88 A,19.05 A,18.79 A,6.38 kWh Abs,0.29 kVArh+ Abs,0 kVArh- Abs,6.38 kVAh Abs,1,1,2
27299286,20-05-2023 15:00,224.57 V,223.63 V,225.47 V,16.76 A,16.93 A,16.68 A,5.66 kWh Abs,0.3 kVArh+ Abs,0 kVArh- Abs,5.67 kVAh Abs,0.998,1,2
27299286,20-05-2023 15:30,224.38 V,223.71 V,225.58 V,13.26 A,13.42 A,13.19 A,4.46 kWh Abs,0.33 kVArh+ Abs,0 kVArh- Abs,4.47 kVAh Abs,0.998,1,2
27299286,20-05-2023 16:00,224.53 V,225.04 V,226.46 V,10.27 A,10.43 A,10.19 A,3.47 kWh Abs,0.35 kVArh+ Abs,0 kVArh- Abs,3.49 kVAh Abs,0.994,1,2
27299286,20-05-2023 16:30,224.92 V,225.47 V,227.29 V,8.95 A,9.11 A,8.88 A,3.02 kWh Abs,0.37 kVArh+ Abs,0 kVArh- Abs,3.04 kVAh Abs,0.993,1,2
27299286,20-05-2023 17:00,225.02 V,226.05 V,227.2 V,6.13 A,6.27 A,6.04 A,2.05 kWh Abs,0.39 kVArh+ Abs,0 kVArh- Abs,2.09 kVAh Abs,0.981,1,2
27299286,20-05-2023 17:30,226.9 V,227.99 V,228.99 V,3.95 A,4.11 A,3.89 A,1.3 kWh Abs,0.42 kVArh+ Abs,0 kVArh- Abs,1.36 kVAh Abs,0.956,1,2
27299286,20-05-2023 18:00,227.35 V,228.1 V,229.11 V,2.53 A,2.68 A,2.52 A,0.77 kWh Abs,0.43 kVArh+ Abs,0 kVArh- Abs,0.89 kVAh Abs,0.865,1,2
27299286,20-05-2023 18:30,228.19 V,228.73 V,229.7 V,1.62 A,1.79 A,1.66 A,0.37 kWh Abs,0.44 kVArh+ Abs,0 kVArh- Abs,0.58 kVAh Abs,0.638,1,2
27299286,20-05-2023 19:00,227.16 V,228.46 V,228.81 V,1.29 A,1.46 A,1.36 A,0.13 kWh Abs,0.45 kVArh+ Abs,0 kVArh- Abs,0.47 kVAh Abs,0.277,1,2
27299286,20-05-2023 19:30,226.06 V,227.59 V,227.71 V,1.22 A,1.38 A,1.34 A,0.04 kWh Abs,0.08 kVArh+ Abs,0.37 kVArh- Abs,0.05 kVAh Abs,-0.8,1,2
27299286,20-05-2023 20:00,225.6 V,226.81 V,226.86 V,0.2 A,0.2 A,0.19 A,0.01 kWh Abs,0 kVArh+ Abs,0.07 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,20-05-2023 20:30,225.8 V,226.88 V,226.84 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,20-05-2023 21:00,226.32 V,227.29 V,227.08 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,20-05-2023 21:30,230.23 V,231.05 V,231.01 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,20-05-2023 22:00,228.78 V,230.14 V,229.38 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,20-05-2023 22:30,229.72 V,230.95 V,230.03 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,20-05-2023 23:00,230.87 V,231.85 V,231.68 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,20-05-2023 23:30,230.17 V,230.8 V,231.15 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
27299286,21-05-2023 00:00,229.72 V,230.79 V,231.46 V,0.12 A,0.12 A,0.12 A,0.01 kWh Abs,0 kVArh+ Abs,0.04 kVArh- Abs,0 kVAh Abs,-1,1,2
27299286,21-05-2023 00:30,228.49 V,230.12 V,231.26 V,0.12 A,0.12 A,0.12 A,0 kWh Abs,0 kVArh+ Abs,0.05 kVArh- Abs,0.01 kVAh Abs,-1,1,2
